dataset,label,dataset_type,task_type,n_classes,train_size,val_size,test_size,rep_type,cnn_architecture,train_accuracy,train_precision,train_recall,train_f1,train_n_classes,val_accuracy,val_precision,val_recall,val_f1,val_n_classes,test_accuracy,test_precision,test_recall,test_f1,test_n_classes,error,train_r2,train_mse,train_rmse,train_mae,val_r2,val_mse,val_rmse,val_mae,test_r2,test_mse,test_rmse,test_mae
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,gaf_fixed,large_resnet,0.8410537870472009,0.8428686898020425,0.8414768012056371,0.8409415462521699,2.0,0.5615183246073299,0.5618941396783432,0.5616078342687582,0.5610483114406307,2.0,0.5610561056105611,0.561655204499979,0.5614424209887819,0.5608081156827435,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,mtf_fixed,large_resnet,0.6821075740944017,0.6825201438475581,0.6817477340317883,0.6816268385653774,2.0,0.5575916230366492,0.557637916357745,0.5575371942736922,0.557372468962491,2.0,0.5656765676567657,0.5655691172296338,0.5652273947388604,0.5648756001745963,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,heatmap_fixed,large_resnet,0.6713501646542261,0.6725939901932088,0.6707717094871415,0.6702592306800672,2.0,0.550392670157068,0.5504573367114699,0.5503261994339481,0.5500687282130279,2.0,0.5683168316831683,0.5682893163748662,0.5682986007013924,0.5682850440250695,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,heatmap_zoomed,large_resnet,0.506476399560922,0.512166734918206,0.5008707549730983,0.3525437326559084,2.0,0.5019633507853403,0.5108316699933466,0.5006972855547104,0.3488234045639168,2.0,0.5016501650165016,0.4455699504390922,0.4956354712087513,0.3477011215668517,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,baseline_fixed,large_resnet,0.8748627881448957,0.8752935431692708,0.8750706668949603,0.8748553993868934,2.0,0.525523560209424,0.5258686091021421,0.5256453746153793,0.5245540494664644,2.0,0.5471947194719472,0.5486381219767476,0.5479514254439479,0.5458966453791383,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,2d,classification,2.0,4555.0,1528.0,1515.0,baseline_zoomed,large_resnet,0.8461031833150384,0.8495039425670501,0.8466776147329582,0.8458624830291146,2.0,0.5418848167539267,0.5420998349834983,0.5419604860097449,0.5415384351612931,2.0,0.5485148514851486,0.5491857105332283,0.5489571495304297,0.5481508483563097,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,timeseries,classification,2.0,4555.0,1528.0,1515.0,,,0.6990120746432492,0.7009393295080535,0.6995308219495039,0.6986117930052644,2.0,0.631544502617801,0.6322210654023869,0.6316327789313543,0.6311652074294831,2.0,0.6567656765676567,0.6589195714607501,0.6574071491818252,0.6561326931470973,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,gaf_fixed,large_resnet,0.9130625686059276,0.9179724253683804,0.9137099367873538,0.9128861199652274,2.0,0.5772251308900523,0.5790523376650641,0.5774141156637405,0.5751024484314198,2.0,0.5801980198019802,0.5829591018444267,0.581142063320528,0.578248598451556,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,mtf_fixed,large_resnet,0.7040614709110867,0.7107495512292297,0.7050484314070289,0.70231390874064,2.0,0.5948952879581152,0.5977254603737914,0.5951100923089574,0.5922531583360457,2.0,0.6125412541254125,0.6185368536853686,0.6138132804384051,0.6091071843787925,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,heatmap_fixed,large_resnet,0.779582875960483,0.7836326414064929,0.7788632328532998,0.7784689330825255,2.0,0.5955497382198953,0.5966816679167708,0.5953996285712329,0.5941417055345719,2.0,0.6066006600660065,0.6066899730971864,0.6061744835423799,0.6059191989022614,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,heatmap_zoomed,large_resnet,0.6366630076838639,0.637415433047813,0.6361105133829409,0.6355652080379879,2.0,0.6236910994764397,0.6246459462028324,0.6235703076279956,0.6228302328226989,2.0,0.6488448844884488,0.6491862995553033,0.6484087945952353,0.6481972937581841,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,baseline_fixed,large_resnet,0.9628979143798024,0.963092307941508,0.9630487337417938,0.9628977999332078,2.0,0.5589005235602095,0.5591721672167217,0.558976309423463,0.5585670075695879,2.0,0.5643564356435643,0.5652297399646554,0.5648509018399348,0.5639002383087406,2.0,,,,,,,,,,,,,
ASD_ready_data_fixations,ASD_label,merged,classification,2.0,4555.0,1528.0,1515.0,baseline_zoomed,large_resnet,0.9220636663007684,0.9237820591816504,0.9217082145589616,0.9219306761881768,2.0,0.5759162303664922,0.5811335746446544,0.5755741041508193,0.5683728716030654,2.0,0.5610561056105611,0.5622682144438236,0.5598196668735054,0.5561050834388941,2.0,,,,,,,,,,,,,
Dyslexia_1_ready_data_fixations,Dyslexia_label,2d,classification,2.0,360.0,120.0,120.0,gaf_fixed,large_resnet,0.825,0.8287379060925474,0.8376190476190476,0.8242827591015798,2.0,0.4583333333333333,0.449579831932773,0.4583333333333333,0.4337568058076225,2.0,0.6,0.6098901098901099,0.6,0.5907928388746804,2.0,,,,,,,,,,,,,
Dyslexia_1_ready_data_fixations,Dyslexia_label,2d,classification,2.0,360.0,120.0,120.0,mtf_fixed,large_resnet,0.6472222222222223,0.7919402985074626,0.5776190476190476,0.5206290956749673,2.0,0.5,0.25,0.5,0.3333333333333333,2.0,0.5166666666666667,0.6293103448275862,0.5166666666666666,0.3821022727272727,2.0,,,,,,,,,,,,,
Dyslexia_1_ready_data_fixations,Dyslexia_label,2d,classification,2.0,360.0,120.0,120.0,heatmap_fixed,large_resnet,0.8555555555555555,0.851088056680162,0.8523809523809525,0.8517063278304129,2.0,0.6,0.6669758812615956,0.6,0.5554183389935166,2.0,0.45,0.2368421052631578,0.45,0.3103448275862069,2.0,,,,,,,,,,,,,
Dyslexia_1_ready_data_fixations,Dyslexia_label,2d,classification,2.0,360.0,120.0,120.0,heatmap_zoomed,large_resnet,0.7194444444444444,0.7317775571002979,0.6852380952380952,0.687561761546724,2.0,0.5,0.5,0.5,0.4998610725201445,2.0,0.5666666666666667,0.5770218228498074,0.5666666666666667,0.5515952860017247,2.0,,,,,,,,,,,,,
